GAMEID,DATE,DH,EJECTEE,EJECTEENAME,TEAM,JOB,UMPIRE,UMPIRENAME,INNING,REASON
SLN192508030,08/03/1925, ,hornr101,"Rogers Hornsby",SLN,P,sweej901,"Monroe Sweeney",6,"Called third strike"
SLN192508030,08/03/1925, ,mailw101,"Duster Mails",SLN,P,pfirc901,"Cy Pfirman",6,"Balls and strikes"
SLN192508050,08/05/1925, ,muelh102,"Heinie Mueller",SLN,P,mccob104,"Barry McCormick",1,"Call at 2B"
SLN192508060,08/06/1925, ,felig101,"Gus Felix",BSN,P,mccob104,"Barry McCormick",3,"Balls and strikes"
PIT192508070,08/07/1925, ,grimb101,"Burleigh Grimes",BRO,P,pfirc901,"Cy Pfirman",7,"Fighting"
PIT192508070,08/07/1925, ,carem101,"Max Carey",PIT,P,pfirc901,"Cy Pfirman",7,"Fighting"
PIT192508070,08/07/1925, ,tierc101,"Cotton Tierney",BRO,P,pfirc901,"Cy Pfirman",7,"Inciting"
PHA192508080,08/08/1925, ,macke101,"Earle Mack",PHA,C,geish901,"Harry Geisel",3,"Call at 1B"
SLN192508090,08/09/1925, ,fribb101,"Bernie Friberg",PHI,P,mccob104,"Barry McCormick",4,"Called third strike"
DET192508180,08/18/1925, ,mcbrg101,"George McBride",DET,C,nalld901,"Dick Nallin",6,"Call at 1B"
CHA192508210,08/21/1925, ,romme101,"Eddie Rommel",PHA,P,ormsr901,"Red Ormsby",5,"Bench jockeying"
BSN192508222,08/22/1925,2,bancd101,"Dave Bancroft",BSN,M,pfirc901,"Cy Pfirman",8,"HBP non-call"
BRO192508241,08/24/1925,1,hartg103,"Gabby Hartnett",CHN,P,wilsf901,"Frank Wilson",3,"Balls and strikes"
BRO192508241,08/24/1925,1,heatc101,"Cliff Heathcote",CHN,P,wilsf901,"Frank Wilson",3,"Balls and strikes (Threw bat)"
CHA192508240,08/24/1925, ,lamab101,"Bill Lamar",PHA,P,owenb901,"Brick Owens",9,"Threw bat"
NY1192508250,08/25/1925, ,donop102,"Pete Donohue",CIN,P,quige901,"Ernie Quigley",6,"Fighting"
NY1192508250,08/25/1925, ,younr101,"Ross Youngs",NY1,P,quige901,"Ernie Quigley",6,"Fighting"
PHI192508250,08/25/1925, ,freih101,"Howard Freigau",CHN,P,mccob104,"Barry McCormick",4,"Balls and strikes"
BSN192508260,08/26/1925, ,bancd101,"Dave Bancroft",BSN,M,riglc901,"Cy Rigler",8,"Balls and strikes"
SLA192508260,08/26/1925, ,altrn101,"Nick Altrock",WS1,C,owenb901,"Brick Owens",4,"Mimicking umpire in comedy act"
SLA192508260,08/26/1925, ,harrb106,"Bucky Harris",WS1,M,owenb901,"Brick Owens",4,"Balls and strikes"
BRO192508270,08/27/1925, ,bladr102,"Ray Blades",SLN,P,odayh101,"Hank O'Day",4,"Called third strike (Threw bat)"
BRO192508301,08/30/1925,1,rixee101,"Eppa Rixey",CIN,P,quige901,"Ernie Quigley",7,"Balls and strikes"
BSN192509010,09/01/1925, ,marar101,"Rabbit Maranville",CHN,M,klemb901,"Bill Klem",5,"Bench jockeying"
PHI192509010,09/01/1925, ,hubec101,"Clarence Huber",PHI,P,pfirc901,"Cy Pfirman",6,"Balls and strikes"
SLA192509030,09/03/1925, ,austj101,"Jimmy Austin",SLA,C,dinnb101,"Bill Dinneen",3,"Balls and strikes"
PIT192509050,09/05/1925, ,carem101,"Max Carey",PIT,P,mclap901,"Peter McLaughlin",1,"Balk non-call"
PIT192509050,09/05/1925, ,mckeb101,"Bill McKechnie",PIT,M,mclap901,"Peter McLaughlin",1,"Balk non-call"
NYA192509060,09/06/1925, ,shocu101,"Urban Shocker",NYA,P,hildg101,"George Hildebrand",7,"Balls and strikes"
PIT192509090,09/09/1925, ,yde-e101,"Emil Yde",PIT,P,riglc901,"Cy Rigler",8,"Fighting"
CHA192509101,09/10/1925,1,sislg101,"George Sisler",SLA,M,rowlp801,"Pants Rowland",12,"Balls and strikes"
DET192509130,09/13/1925, ,spurf101,"Freddy Spurgeon",CLE,P,owenb901,"Brick Owens",9,"Balls and strikes"
PIT192509180,09/18/1925, ,felig101,"Gus Felix",BSN,P,morac102,"Charlie Moran",8,"Fighting"
PIT192509180,09/18/1925, ,smite106,"Earl Smith",PIT,P,morac102,"Charlie Moran",8,"Fighting"
PIT192509210,09/21/1925, ,mcins101,"Stuffy McInnis",PIT,P,odayh101,"Hank O'Day",4,"Interference non-call"
CHN192509220,09/22/1925, ,gibsg101,"George Gibson",CHN,C,mclap901,"Peter McLaughlin",9,"Balls and strikes"
PHI192604150,04/15/1926, ,fribb101,"Bernie Friberg",PHI,P,mclap901,"Peter McLaughlin",9,"Called third strike"
WS1192604160,04/16/1926, ,harrb106,"Bucky Harris",WS1,P,nalld901,"Dick Nallin",9,"Call at 2B (Pushed umpire)"
PHI192604270,04/27/1926, ,fleta101,"Art Fletcher",PHI,M,klemb901,"Bill Klem",4,"Call at 1B"
SLA192604300,04/30/1926, ,giarj101,"Joe Giard",SLA,P,rowlp801,"Pants Rowland",6,"Balls and strikes"
CHN192605010,05/01/1926, ,gonzm101,"Mike Gonzalez",CHN,P,morac102,"Charlie Moran",8,"Called third strike"
NY1192605030,05/03/1926, ,fleta101,"Art Fletcher",PHI,M,mclap901,"Peter McLaughlin",1,"Call at 2B"
PIT192605050,05/05/1926, ,bancd101,"Dave Bancroft",BSN,P,mccob104,"Barry McCormick",3,"Balk non-call"
PHA192605070,05/07/1926, ,austj101,"Jimmy Austin",SLA,C,rowlp801,"Pants Rowland",3,"Called third strike"
SLN192605150,05/15/1926, ,taylz101,"Zack Taylor",BSN,P,hartb901,"Bob Hart",6,"Balls and strikes"
DET192605160,05/16/1926, ,flagi101,"Ira Flagstead",BOS,P,morig101,"George Moriarty",11,"Called third strike"
CIN192605170,05/17/1926, ,rouse101,"Edd Roush",CIN,P,riglc901,"Cy Rigler",3,"Balk non-call"
BOS192605220,05/22/1926, ,hunnb101,"Bill Hunnefield",CHA,P,mcgob901,"Bill McGowan",7,"Call at 3B"
CHN192605230,05/23/1926, ,freih101,"Howard Freigau",CHN,P,sweej901,"Monroe Sweeney",3,"Called third strike"
WS1192605230,05/23/1926, ,millb110,"Bing Miller",PHA,P,rowlp801,"Pants Rowland",7,"Call at 1B"
SLA192605290,05/29/1926, ,riceh101,"Harry Rice",SLA,P,mcgob901,"Bill McGowan",4,"Call at 1B"
PHI192606010,06/01/1926, ,harpg101,"George Harper",PHI,P,sweej901,"Monroe Sweeney",2,"Call at 2B"
NY1192606060,06/06/1926, ,grimc101,"Charlie Grimm",CHN,P,mccob104,"Barry McCormick",6,"Call at 1B"
CLE192606070,06/07/1926, ,collp101,"Pat Collins",NYA,P,hildg101,"George Hildebrand",8,"Called third strike"
PHI192606090,06/09/1926, ,grang102,"George Grantham",PIT,P,klemb901,"Bill Klem",3,"Call at 1B"
PHI192606090,06/09/1926, ,mckeb101,"Bill McKechnie",PIT,M,klemb901,"Bill Klem",3,"Call at 1B"
DET192606180,06/18/1926, ,cobbt101,"Ty Cobb",DET,M,rowlp801,"Pants Rowland",6,"Call at 1B"
PHI192606180,06/18/1926, ,donop102,"Pete Donohue",CIN,P,rearb901,"Beans Reardon",-1,"Bench jockeying"
CIN192606210,06/21/1926, ,piciv101,"Val Picinich",CIN,P,odayh101,"Hank O'Day",12,"Fair/foul call"
CIN192606210,06/21/1926, ,maysc101,"Carl Mays",CIN,P,pfirc901,"Cy Pfirman",12,"Fair/foul call"
PHA192606290,06/29/1926, ,gehrl101,"Lou Gehrig",NYA,P,hildg101,"George Hildebrand",4,"Called third strike (Threw bat)"
BRO192606300,06/30/1926, ,hubec101,"Clarence Huber",PHI,P,pfirc901,"Cy Pfirman",3,"Call at 3B"
CHN192607010,07/01/1926, ,coonj103,"Jimmy Cooney",CHN,P,mccob104,"Barry McCormick",10,"Call at 3B (Struck umpire)"
PIT192607062,07/06/1926,2,wilsh102,"Hack Wilson",CHN,P,rearb901,"Beans Reardon",6,"Fair/foul call"
PHA192607090,07/09/1926, ,dykej101,"Jimmy Dykes",PHA,P,nalld901,"Dick Nallin",7,"Bench jockeying"
WS1192607100,07/10/1926, ,judgj101,"Joe Judge",WS1,P,ormsr901,"Red Ormsby",4,"Call at 2B"
NYA192607110,07/11/1926, ,collp101,"Pat Collins",NYA,P,rowlp801,"Pants Rowland",8,"Balls and strikes"
PIT192607141,07/14/1926,1,goocj101,"Johnny Gooch",PIT,P,riglc901,"Cy Rigler",5,"Call at HP"
CHN192607190,07/19/1926, ,freih101,"Howard Freigau",CHN,P,mclap901,"Peter McLaughlin",4,"Balls and strikes"
CIN192607200,07/20/1926, ,marrw101,"William Marriott",BRO,P,odayh101,"Hank O'Day",4,"Fighting"
CIN192607200,07/20/1926, ,pippw101,"Wally Pipp",CIN,P,odayh101,"Hank O'Day",4,"Fighting"
PIT192607212,07/21/1926,2,fewsc101,"Chick Fewster",BRO,P,rearb901,"Beans Reardon",1,"Call at 2B (Threw glove)"
WS1192607230,07/23/1926, ,woodl101,"Larry Woodall",DET,P,mcgob901,"Bill McGowan",8,"Balls and strikes"
WS1192607240,07/24/1926, ,fothb101,"Bob Fothergill",DET,P,mcgob901,"Bill McGowan",5,"Balls and strikes"
CIN192607250,07/25/1926, ,devla101,"Art Devlin",BSN,C,mccob104,"Barry McCormick",4,"Fighting"
CIN192607250,07/25/1926, ,piciv101,"Val Picinich",CIN,P,mccob104,"Barry McCormick",4,"Fighting"
CIN192607250,07/25/1926, ,pineb101,"Babe Pinelli",CIN,P,mccob104,"Barry McCormick",4,"Fighting"
SLN192607250,07/25/1926, ,bladr102,"Ray Blades",SLN,P,sweej901,"Monroe Sweeney",8,"Call at 2B"
SLN192607250,07/25/1926, ,hainj101,"Jesse Haines",SLN,P,sweej901,"Monroe Sweeney",8,"Call at 2B"
SLN192607250,07/25/1926, ,killb101,"Bill Killefer",SLN,C,sweej901,"Monroe Sweeney",8,"Call at 2B"
CLE192607290,07/29/1926, ,perkc101,"Cy Perkins",PHA,P,hildg101,"George Hildebrand",8,"Fair/foul call"
BSN192608071,08/07/1926,1,smite106,"Earl Smith",PIT,P,riglc901,"Cy Rigler",6,"Bench jockeying"
BRO192608110,08/11/1926, ,felig101,"Gus Felix",BRO,P,sweej901,"Monroe Sweeney",8,"Balls and strikes"
BRO192608110,08/11/1926, ,kellj106,"Joe Kelley",BRO,C,sweej901,"Monroe Sweeney",8,"Balls and strikes"
NY1192608110,08/11/1926, ,hartg103,"Gabby Hartnett",CHN,P,klemb901,"Bill Klem",7,"Called third strike"
WS1192608111,08/11/1926,1,harrb106,"Bucky Harris",WS1,P,owenb901,"Brick Owens",7,"Call at 2B"
WS1192608150,08/15/1926, ,simma101,"Al Simmons",PHA,P,dinnb101,"Bill Dinneen",6,"Call at HP"
CIN192608200,08/20/1926, ,pineb101,"Babe Pinelli",CIN,P,sweej901,"Monroe Sweeney",3,"Balls and strikes"
NYA192608280,08/28/1926, ,bassj102,"Johnny Bassler",DET,P,mcgob901,"Bill McGowan",8,"Fair/foul call"
SLN192608290,08/29/1926, ,willo101,"Otto Williams",SLN,C,riglc901,"Cy Rigler",8,"Call at 1B"
PHI192608300,08/30/1926, ,bancd101,"Dave Bancroft",BSN,M,sweej901,"Monroe Sweeney",6,"Fair/foul call"
PHI192608300,08/30/1926, ,smitj106,"Jack Smith",BSN,P,sweej901,"Monroe Sweeney",6,"Fair/foul call"
CHN192608310,08/31/1926, ,piciv101,"Val Picinich",CIN,P,odayh101,"Hank O'Day",5,"Interference non-call"
CLE192608310,08/31/1926, ,sislg101,"George Sisler",SLA,M,rowlp801,"Pants Rowland",9,"Fair/foul call"
CLE192608310,08/31/1926, ,willk101,"Ken Williams",SLA,P,rowlp801,"Pants Rowland",9,"Fair/foul call"
BRO192609122,09/12/1926,2,mcwed101,"Doug McWeeny",BRO,P,riglc901,"Cy Rigler",8,"Balls and strikes"
PHI192609162,09/16/1926,2,fleta101,"Art Fletcher",PHI,M,klemb901,"Bill Klem",5,"Balls and strikes"
PHI192609162,09/16/1926,2,wilsj105,"Jimmie Wilson",PHI,P,klemb901,"Bill Klem",5,"Balls and strikes"
SLA192609162,09/16/1926,2,dykej101,"Jimmy Dykes",PHA,P,rowlp801,"Pants Rowland",1,"Unknown reason"
BSN192609181,09/18/1926,1,taylz101,"Zack Taylor",BSN,P,mclap901,"Peter McLaughlin",6,"Call at 3B"
BSN192609181,09/18/1926,1,bancd101,"Dave Bancroft",BSN,M,mclap901,"Peter McLaughlin",6,"Call at 3B"
SLA192609190,09/19/1926, ,sislg101,"George Sisler",SLA,P,rowlp801,"Pants Rowland",9,"Called third strike"
PHI192704140,04/14/1927, ,mcins101,"Stuffy McInnis",PHI,M,odayh101,"Hank O'Day",4,"Call at 3B"
PHI192704150,04/15/1927, ,mcins101,"Stuffy McInnis",PHI,M,mclap901,"Peter McLaughlin",5,"Fair/foul call"
NY1192704210,04/21/1927, ,mcins101,"Stuffy McInnis",PHI,M,hartb901,"Bob Hart",5,"Balls and strikes"
BOS192704270,04/27/1927, ,hanef101,"Fred Haney",BOS,P,mcgob901,"Bill McGowan",4,"Called third strike"
PHA192705050,05/05/1927, ,cobbt101,"Ty Cobb",PHA,P,ormsr901,"Red Ormsby",8,"Fair/foul call (Bumped umpire)"
PHA192705050,05/05/1927, ,simma101,"Al Simmons",PHA,P,ormsr901,"Red Ormsby",8,"Fair/foul call"
CLE192705080,05/08/1927, ,gleak101,"Kid Gleason",PHA,C,nalld901,"Dick Nallin",-1,"Call at 1B"
PHI192705120,05/12/1927, ,wilsj105,"Jimmie Wilson",PHI,P,hartb901,"Bob Hart",2,"Call at HP"
SLA192705160,05/16/1927, ,orouf101,"Frank O'Rourke",SLA,P,mcgob901,"Bill McGowan",7,"Balls and strikes"
DET192705180,05/18/1927, ,bassj102,"Johnny Bassler",DET,P,nalld901,"Dick Nallin",7,"Balls and strikes"
DET192705180,05/18/1927, ,onslj101,"Jack Onslow",WS1,C,dinnb101,"Bill Dinneen",8,"Call at 1B"
NY1192705200,05/20/1927, ,bushd102,"Donie Bush",PIT,M,mccob104,"Barry McCormick",9,"Call at 1B"
PHI192705212,05/21/1927,2,wilsj105,"Jimmie Wilson",PHI,P,pfirc901,"Cy Pfirman",9,"Balls and strikes"
CIN192705220,05/22/1927, ,grimc101,"Charlie Grimm",CHN,P,jordl901,"Lou Jorda",5,"Bench jockeying (Waved towel)"
CIN192705230,05/23/1927, ,rhynh101,"Hal Rhyne",PIT,P,jordl901,"Lou Jorda",1,"Call at 3B"
NY1192705310,05/31/1927, ,wilsj105,"Jimmie Wilson",PHI,P,klemb901,"Bill Klem",6,"Balls and strikes"
BOS192706030,06/03/1927, ,metza101,"Alex Metzler",CHA,P,evanb901,"Billy Evans",4,"Called third strike"
PHA192706070,06/07/1927, ,gastm101,"Milt Gaston",SLA,P,rowlp801,"Pants Rowland",3,"Entering stands"
NYA192706090,06/09/1927, ,blacl101,"Lena Blackburne",CHA,C,ormsr901,"Red Ormsby",7,"Call at 1B"
BOS192706100,06/10/1927, ,carrb101,"Bill Carrigan",BOS,M,hildg101,"George Hildebrand",6,"Call at 1B"
NYA192706180,06/18/1927, ,dugaj101,"Joe Dugan",NYA,P,mcgob901,"Bill McGowan",1,"Call at 3B"
PIT192706180,06/18/1927, ,smite106,"Earl Smith",PIT,P,mccob104,"Barry McCormick",7,"Fighting"
SLN192706212,06/21/1927,2,mccaj802,"Joe McCarthy",CHN,M,quige901,"Ernie Quigley",2,"Balls and strikes"
SLN192706212,06/21/1927,2,wilsh102,"Hack Wilson",CHN,P,quige901,"Ernie Quigley",2,"Balls and strikes"
CIN192706270,06/27/1927, ,piciv101,"Val Picinich",CIN,P,wilsf901,"Frank Wilson",3,"Balls and strikes"
CHA192706280,06/28/1927, ,schar103,"Ray Schalk",CHA,M,owenb901,"Brick Owens",-1,"Fair/foul call"
NYA192706280,06/28/1927, ,cobbt101,"Ty Cobb",PHA,P,vangr901,"Roy Van Graflan",9,"Bench jockeying"
WS1192707030,07/03/1927, ,thomm101,"Myles Thomas",NYA,P,dinnb101,"Bill Dinneen",5,"Balls and strikes"
BOS192707050,07/05/1927, ,hofmf101,"Fred Hofmann",BOS,P,rowlp801,"Pants Rowland",1,"Balls and strikes"
CLE192707130,07/13/1927, ,oleac101,"Charley O'Leary",NYA,C,vangr901,"Roy Van Graflan",8,"Call at 2B"
BSN192707150,07/15/1927, ,bancd101,"Dave Bancroft",BSN,M,mccob104,"Barry McCormick",1,"Balls and strikes"
CLE192707161,07/16/1927,1,sewel101,"Luke Sewell",CLE,P,ormsr901,"Red Ormsby",12,"Balls and strikes"
DET192707160,07/16/1927, ,neunj101,"Johnny Neun",DET,P,rowlp801,"Pants Rowland",3,"Call at 1B"
PHI192707162,07/16/1927,2,thomf106,"Fresco Thompson",PHI,P,morac102,"Charlie Moran",7,"Called third strike (Threw bat)"
PHI192707182,07/18/1927,2,jonnb101,"Bubber Jonnard",PHI,P,odayh101,"Hank O'Day",6,"Call at 1B"
SLA192707180,07/18/1927, ,morer102,"Ray Morehart",NYA,P,dinnb101,"Bill Dinneen",1,"Called third strike"
BSN192707202,07/20/1927,2,fourj101,"Jack Fournier",BSN,P,pfirc901,"Cy Pfirman",7,"Bench jockeying"
NY1192707210,07/21/1927, ,mcgrj101,"John McGraw",NY1,M,wilsf901,"Frank Wilson",10,"Balls and strikes"
SLA192707211,07/21/1927,1,harrb106,"Bucky Harris",WS1,M,nalld901,"Dick Nallin",6,"Call at HP"
NY1192707220,07/22/1927, ,grimb101,"Burleigh Grimes",NY1,P,pfirc901,"Cy Pfirman",4,"Bench jockeying"
BOS192707282,07/28/1927,2,buckg101,"Garland Buckeye",CLE,P,vangr901,"Roy Van Graflan",9,"Call at HP"
BOS192707282,07/28/1927,2,culln102,"Nick Cullop",CLE,P,vangr901,"Roy Van Graflan",9,"Call at HP"
BOS192707282,07/28/1927,2,mccaj801,"Jack McCallister",CLE,M,vangr901,"Roy Van Graflan",9,"Call at HP"
PIT192707280,07/28/1927, ,trayp101,"Pie Traynor",PIT,P,mclap901,"Peter McLaughlin",5,"Call at 3B (Threw glove)"
CHN192707290,07/29/1927, ,grimc101,"Charlie Grimm",CHN,P,quige901,"Ernie Quigley",9,"Called third strike"
WS1192707290,07/29/1927, ,heilh101,"Harry Heilmann",DET,P,mcgob901,"Bill McGowan",9,"Called third strike"
WS1192708020,08/02/1927, ,manuh101,"Heinie Manush",DET,P,ormsr901,"Red Ormsby",8,"Call at 1B"
WS1192708100,08/10/1927, ,harrb106,"Bucky Harris",WS1,P,rowlp801,"Pants Rowland",3,"Balls and strikes (Bumped umpire)"
WS1192708100,08/10/1927, ,onslj101,"Jack Onslow",WS1,C,rowlp801,"Pants Rowland",7,"Called third strike"
NY1192708120,08/12/1927, ,devoa101,"Al DeVormer",NY1,P,klemb901,"Bill Klem",8,"Call at 1B"
NY1192708160,08/16/1927, ,bushd102,"Donie Bush",PIT,M,quige901,"Ernie Quigley",1,"Call at 3B"
BRO192708200,08/20/1927, ,grang102,"George Grantham",PIT,P,morac102,"Charlie Moran",1,"Fair/foul call"
PHI192708311,08/31/1927,1,mcins101,"Stuffy McInnis",PHI,M,morac102,"Charlie Moran",13,"Call at HP"
PHI192708311,08/31/1927,1,thomf106,"Fresco Thompson",PHI,P,morac102,"Charlie Moran",13,"Call at HP"
SLA192709010,09/01/1927, ,austj101,"Jimmy Austin",SLA,C,vangr901,"Roy Van Graflan",6,"Call at 1B"
SLA192709010,09/01/1927, ,manuh101,"Heinie Manush",DET,P,owenb901,"Brick Owens",9,"Call at HP"
BRO192709042,09/04/1927,2,bancd101,"Dave Bancroft",BSN,M,jordl901,"Lou Jorda",4,"Call at HP"
PIT192709051,09/05/1927,1,kolpr101,"Ray Kolp",CIN,P,quige901,"Ernie Quigley",1,"Call at 2B"
DET192709060,09/06/1927, ,bluel101,"Lu Blue",DET,P,vangr901,"Roy Van Graflan",7,"Call at 1B"
NY1192709060,09/06/1927, ,fourj101,"Jack Fournier",BSN,P,hartb901,"Bob Hart",4,"Call at 1B"
BOS192709070,09/07/1927, ,hoytw101,"Waite Hoyt",NYA,P,dinnb101,"Bill Dinneen",4,"Call at 3B"
SLN192709071,09/07/1927,1,englw101,"Woody English",CHN,P,rearb901,"Beans Reardon",5,"Call at 1B"
SLN192709100,09/10/1927, ,hermb102,"Babe Herman",BRO,P,odayh101,"Hank O'Day",1,"Call at 1B (Threw cap)"
WS1192709110,09/11/1927, ,schar103,"Ray Schalk",CHA,M,mcgob901,"Bill McGowan",12,"Called third strike"
PIT192709120,09/12/1927, ,ferga101,"Alex Ferguson",PHI,P,jordl901,"Lou Jorda",7,"Call at 3B (Threw glove)"
PIT192709120,09/12/1927, ,fribb101,"Bernie Friberg",PHI,P,jordl901,"Lou Jorda",7,"Call at 3B"
PIT192709120,09/12/1927, ,mcins101,"Stuffy McInnis",PHI,M,jordl901,"Lou Jorda",7,"Call at 3B"
CHN192709130,09/13/1927, ,butlj101,"Johnny Butler",BRO,P,pfirc901,"Cy Pfirman",7,"Interference non-call"
WS1192709140,09/14/1927, ,judgj101,"Joe Judge",WS1,P,evanb901,"Billy Evans",7,"Call at 1B"
BOS192709201,09/20/1927,1,carrb101,"Bill Carrigan",BOS,M,owenb901,"Brick Owens",-1,"Balls and strikes"
PHA192709222,09/22/1927,2,simma101,"Al Simmons",PHA,P,mcgob901,"Bill McGowan",2,"Call at 2B"
NYA192709240,09/24/1927, ,bluel101,"Lu Blue",DET,P,ormsr901,"Red Ormsby",4,"Call at 1B"
CIN192709300,09/30/1927, ,piciv101,"Val Picinich",CIN,P,quige901,"Ernie Quigley",8,"Call at 3B"
DET192804130,04/13/1928, ,mcmam101,"Marty McManus",DET,P,ormsr901,"Red Ormsby",8,"Fighting"
DET192804130,04/13/1928, ,manuh101,"Heinie Manush",SLA,P,ormsr901,"Red Ormsby",8,"Fighting"
DET192804230,04/23/1928, ,schar103,"Ray Schalk",CHA,M,vangr901,"Roy Van Graflan",2,"Called third strike"
CIN192804250,04/25/1928, ,bladr102,"Ray Blades",SLN,P,morac102,"Charlie Moran",12,"Interference call"
CIN192804250,04/25/1928, ,marar101,"Rabbit Maranville",SLN,P,morac102,"Charlie Moran",12,"Interference call"
CIN192804290,04/29/1928, ,zitzb101,"Billy Zitzmann",CIN,P,jordl901,"Lou Jorda",8,"Balls and strikes"
BOS192804300,04/30/1928, ,wagnh103,"Heinie Wagner",BOS,C,nalld901,"Dick Nallin",5,"Balls and strikes"
PIT192805020,05/02/1928, ,grimc101,"Charlie Grimm",CHN,P,morac102,"Charlie Moran",9,"Balls and strikes"
CHN192805060,05/06/1928, ,thomf106,"Fresco Thompson",PHI,P,jordl901,"Lou Jorda",11,"Balls and strikes"
BOS192805160,05/16/1928, ,gallc101,"Chick Galloway",DET,P,campb901,"Bick Campbell",8,"Called third strike"
CIN192805212,05/21/1928,2,bushd102,"Donie Bush",PIT,M,mages101,"Sherry Magee",3,"Call at 2B"
CIN192805212,05/21/1928,2,wingi101,"Ivey Wingo",CIN,C,klemb901,"Bill Klem",5,"Balls and strikes"
BRO192805231,05/23/1928,1,freih101,"Howard Freigau",BRO,P,quige901,"Ernie Quigley",8,"Fair/foul call"
PHA192805242,05/24/1928,2,huggm101,"Miller Huggins",NYA,M,mcgob901,"Bill McGowan",7,"Balls and strikes"
BRO192805250,05/25/1928, ,gautd101,"Doc Gautreau",BSN,P,jordl901,"Lou Jorda",7,"Call at 1B"
PIT192805250,05/25/1928, ,hartg103,"Gabby Hartnett",CHN,P,mccob104,"Barry McCormick",4,"Balls and strikes"
BOS192805290,05/29/1928, ,dykej101,"Jimmy Dykes",PHA,P,vangr901,"Roy Van Graflan",3,"Call at 3B"
BOS192805290,05/29/1928, ,colle101,"Eddie Collins",PHA,P,vangr901,"Roy Van Graflan",3,"Call at 3B"
NYA192805310,05/31/1928, ,gehrl101,"Lou Gehrig",NYA,P,hildg101,"George Hildebrand",2,"Call at 1B"
PIT192806010,06/01/1928, ,doolm101,"Mickey Doolin",CHN,C,quige901,"Ernie Quigley",4,"Bench jockeying"
PIT192806010,06/01/1928, ,mccaj802,"Joe McCarthy",CHN,M,stard901,"Dolly Stark",4,"Call at 3B"
NY1192806030,06/03/1928, ,englw101,"Woody English",CHN,P,stard901,"Dolly Stark",5,"Call at HP"
PHI192806080,06/08/1928, ,thomf106,"Fresco Thompson",PHI,P,rearb901,"Beans Reardon",6,"Call at 3B"
PHI192806080,06/08/1928, ,kellj102,"Joe Kelly",CHN,P,rearb901,"Beans Reardon",6,"Bench jockeying"
BSN192806140,06/14/1928, ,hornr101,"Rogers Hornsby",BSN,P,pfirc901,"Cy Pfirman",4,"Called third strike"
BSN192806231,06/23/1928,1,sotha101,"Allen Sothoron",BSN,C,mages101,"Sherry Magee",-1,"Balls and strikes"
BOS192806282,06/28/1928,2,carrb101,"Bill Carrigan",BOS,M,ormsr901,"Red Ormsby",6,"Call at 1B"
BOS192806282,06/28/1928,2,myerb103,"Buddy Myer",BOS,P,ormsr901,"Red Ormsby",6,"Call at 1B"
BRO192807010,07/01/1928, ,moore102,"Eddie Moore",BSN,P,hartb901,"Bob Hart",4,"Called third strike"
WS1192807030,07/03/1928, ,meusb101,"Bob Meusel",NYA,P,hildg101,"George Hildebrand",7,"Called third strike (Threw bat)"
WS1192807030,07/03/1928, ,oleac101,"Charley O'Leary",NYA,C,hildg101,"George Hildebrand",7,"Ejection of player"
PIT192807042,07/04/1928,2,kellg101,"High Pockets Kelly",CIN,P,quige901,"Ernie Quigley",6,"Bench jockeying"
BOS192807072,07/07/1928,2,riceh101,"Harry Rice",DET,P,nalld901,"Dick Nallin",8,"Balls and strikes"
BOS192807091,07/09/1928,1,woodl101,"Larry Woodall",DET,P,dinnb101,"Bill Dinneen",2,"Call at HP"
NYA192807092,07/09/1928,2,gehrl101,"Lou Gehrig",NYA,P,barrd901,"Dan Barry",5,"Call at 1B (Threw glove)"
CIN192807100,07/10/1928, ,fordh101,"Hod Ford",CIN,P,morac102,"Charlie Moran",7,"Catch/no catch"
NYA192807111,07/11/1928,1,lazzt101,"Tony Lazzeri",NYA,P,mcgob901,"Bill McGowan",8,"Call at 3B"
BOS192807162,07/16/1928,2,carrb101,"Bill Carrigan",BOS,M,guthb901,"Bill Guthrie",3,"Call at 3B"
BOS192807162,07/16/1928,2,hofmf101,"Fred Hofmann",BOS,P,guthb901,"Bill Guthrie",3,"Call at 3B"
BOS192807162,07/16/1928,2,wagnh103,"Heinie Wagner",BOS,C,guthb901,"Bill Guthrie",3,"Call at 3B"
BOS192807162,07/16/1928,2,berrc103,"Charlie Berry",BOS,P,hildg101,"George Hildebrand",5,"Balls and strikes"
CHN192807160,07/16/1928, ,hartg103,"Gabby Hartnett",CHN,P,klemb901,"Bill Klem",5,"Balls and strikes"
CIN192807190,07/19/1928, ,zitzb101,"Billy Zitzmann",CIN,P,hartb901,"Bob Hart",1,"Call at 2B"
BRO192807240,07/24/1928, ,hermb102,"Babe Herman",BRO,P,mages101,"Sherry Magee",4,"Call at 1B"
BRO192807250,07/25/1928, ,bancd101,"Dave Bancroft",BRO,P,mages101,"Sherry Magee",8,"Call at 2B"
BSN192807250,07/25/1928, ,englw101,"Woody English",CHN,P,stard901,"Dolly Stark",8,"Call at 1B"
PHI192807260,07/26/1928, ,kolpr101,"Ray Kolp",CIN,P,mccob104,"Barry McCormick",2,"Call at 2B"
NY1192807280,07/28/1928, ,mccaj802,"Joe McCarthy",CHN,M,klemb901,"Bill Klem",10,"Fair/foul call"
PHI192807281,07/28/1928,1,mckeb101,"Bill McKechnie",SLN,M,jordl901,"Lou Jorda",5,"Balls and strikes"
