PARKID,NAME,AKA,CITY,STATE,START,END,LEAGUE,NOTES
NYC07,Grauer's Ridgewood Park,Ridgewood Park I,Queens,NY,05/02/1886,09/19/1886,AA,BR3: Sundays (1886)
NYC08,Washington Park II,,Brooklyn,NY,05/30/1889,10/03/1890,,BR3:1889; BRO:1890
NYC09,Polo Grounds III,,New York,NY,07/08/1889,09/13/1890,NL,
NYC10,Polo Grounds IV,,New York,NY,04/19/1890,4/13/1911,,NYP:1890; NY1:1891-1911
NYC11,Eastern Park,,Brooklyn,NY,04/28/1890,10/02/1897,,BRP:1890; BRO:1891-97
NYC12,Washington Park III,,Brooklyn,NY,04/30/1898,11/1/1912,,BRO:1898-1912
NYC13,Hilltop Park,,New York,NY,4/30/1903,10/5/1912,,NYA:1903-1912; NY1: 4/15 to 5/30/1911
NYC14,Polo Grounds V,,New York,NY,6/28/1911,9/18/1963,,NY1:1911-1957;NYA:1913-1922;NYN:1962-63
NYC15,Ebbets Field,,Brooklyn,NY,4/9/1913,9/24/1957,NL,
NYC16,Yankee Stadium I,,New York,NY,4/18/1923,9/21/2008,AL,no games 1974-75
NYC17,Shea Stadium,William A. Shea Stadium,New York,NY,4/17/1964,9/28/2008,NL,NYN:1964-2008; NYA:1974-75
NYC18,Wallace's Ridgewood Park,Ridgewood Park II,Queens,NY,04/24/1887,06/08/1890,AA,BR3: Sundays (1887-89); BR4: 1890
NYC19,Washington Park IV,,Brooklyn,NY,4/1/1914,11/1/1915,FL,
NYC20,Citi Field,,New York,NY,4/13/2009,,NL,
NYC21,Yankee Stadium II,,New York,NY,4/16/2009,,AL,
NYC22,Olympic Field,,New York City,NY,,,,
NYC23,Dexter Park,,Brooklyn,NY,,,,
NYC24,Catholic Protectory Oval,,New York,NY,,,,
NYC25,Dyckman Oval,,New York,NY,,,,
NYC26,Hebrew Orphan Asylum Oval,,New York City,NY,,,,
NYC27,Recreation Park,,New York City,NY,,,,
NYC28,Erasmus Field,,Brooklyn,NY,,,,
NYC29,Randalls Island,,New York,NY,,,,
OAK01,Oakland-Alameda County Coliseum,Network Associates Coliseum; Overstock.com Coliseum; O.Co Coliseum; Ring Central Coliseum,Oakland,CA,4/17/1968,,AL,
OAK02,Oaks Park,,Oakland,CA,,,,
OIL01,Ramage-Hasson Field,,Oil City,PA,,,,
OKC01,Holland Field,,Oklahoma City,OK,,,,
OKC02,Texas League Park,,Oklahoma City,OK,,,,
OLE01,Bradner Stadium,,Olean,NY,,,,
OMA01,TD Ameritrade Park,,Omaha,NE,6/13/2019,6/13/2019,AL,KCA
OMA02,League Park,,Omaha,NE,,,,
OMA03,Omaha Municipal Stadium,,Omaha,NE,,,,
ORL01,,,Orlando,FL,,,,
OSH01,Municipal Athletic Field,,Oshkosh,WI,,,,
OWE01,Miller Field,,Owensboro,KY,,,,
OXF01,Rodeo Grounds,,Oxford,NE,,,,
OZA01,,,Ozark,AL,,,,
PAI01,,,Painesville,OH,,,,
PAL01,,,Palatka,FL,,,,
PAR01,,,Parlin,NJ,,,,
PAT01,Hinchliffe Stadium,,Patterson,NJ,,,,
PBL01,,,Pine Bluff,AR,,,,
PEN01,East End Park,Pendleton Park,Cincinnati,OH,04/25/1891,08/13/1891,AA,CN3
PEO01,,,Peoria,IL,,,,
PER01,Washington Park,,Peru,IL,,,,
PET01,,,Petersburg,VA,,,,
PGK01,Riverview Field,,Poughkeepsie,NY,,,,
PHI01,Jefferson Street Grounds,Athletics Park,Philadelphia,PA,05/15/1871,10/11/1890,,PH1:1871-75; PH2:1873-75; PHN:1876; PH4:1883-1890
PHI02,Centennial Park,,Philadelphia,PA,04/21/1875,05/24/1875,NA,PH3
PHI03,Oakdale Park,,Philadelphia,PA,05/02/1882,09/21/1882,AA,PH4
PHI04,Recreation Park,,Philadelphia,PA,05/01/1883,10/09/1886,NL,
PHI05,Keystone Park,,Philadelphia,PA,04/17/1884,08/07/1884,UA,
PHI06,Huntingdon Grounds I,,Philadelphia,PA,04/30/1887,08/06/1894,NL,no games 8/7 to 8/17/1894; fire 8/6/1894
PHI07,Forepaugh Park,,Philadelphia,PA,04/30/1890,10/05/1891,,PHP:1890; PH4:1891
PHI08,University of Penn. Athletic Field,,Philadelphia,PA,08/11/1894,08/17/1894,NL,PHI:8/11&8/14 to 8/17/1894
PHI09,Baker Bowl,,Philadelphia,PA,05/02/1895,6/30/1938,NL,PHI:not 8/20 to 9/10/1903
PHI10,Columbia Park,,Philadelphia,PA,4/26/1901,10/3/1908,,PHA; PHI:8/20 to 9/10/1903
PHI11,Shibe Park,Connie Mack Stadium,Philadelphia,PA,4/12/1909,10/1/1970,,PHA:1909-1954; PHI:5/16to5/28/1927;7/4/1938to1970
PHI12,Veterans Stadium,,Philadelphia,PA,4/10/1971,9/28/2003,NL,
PHI13,Citizens Bank Park,,Philadelphia,PA,4/12/2004,,NL,
PHI14,Huntingdon Grounds II,,Philadelphia,PA,08/18/1894,09/06/1894,NL,Temporary structure after fire on August 6
PHI15,J.J. Dobson’s Park,,Philadelphia,PA,,,,
PHI16,Passon Park,,Philadelphia,PA,,,,
PHI17,44th and Parkside,Penmar Park,Philadelphia,PA,,,,
PHI18,Twenty-fifth and Jefferson Grounds,,Philadelphia,PA,,,,
PHI19,Bigler Park,,Philadelphia,PA,,,,
PHO01,Chase Field,Bank One Ballpark,Phoenix,AZ,3/31/1998,,NL,
PIT01,Union Park,,Pittsburgh,PA,08/22/1878,08/24/1878,NL,PRO: 3 games
PIT02,Exposition Park I,Lower Field,Pittsburgh,PA,05/09/1882,08/30/1884,,PT1:1882-1883; PTU: 8/25 to 8/30/1884
PIT03,Exposition Park II,Upper Field,Pittsburgh,PA,05/01/1883,06/09/1883,AA,PT1
PIT04,Recreation Park,,Pittsburgh,PA,05/01/1884,09/30/1890,,PT1:1884-1886; PIT:1887-1890
PIT05,Exposition Park III,,Pittsburgh,PA,04/19/1890,10/2/1915,,PTP:1890; PIT:1891-6/29/1909; PTF:1914-15
PIT06,Forbes Field,,Pittsburgh,PA,6/30/1909,6/28/1970,NL,
PIT07,Three Rivers Stadium,,Pittsburgh,PA,7/16/1970,10/1/2000,NL,
PIT08,PNC Park,,Pittsburgh,PA,4/9/2001,,NL,
PIT09,Greenlee Field,,Pittsburgh,PA,,,,
PLP01,Island Park,,Portage La Prairie,MAN,,,,
POR01,City Stadium,,Portsmouth,VA,,,,
POR02,Riverside Park,,Portsmouth,OH,,,,
PPB01,,,Philipsburgh,PA,,,,
PRO01,Adelaide Avenue Grounds,,Providence,RI,06/12/1875,06/22/1875,NA,NH1: 6/12/1875; BS1: 6/22/1875
PRO02,Messer Street Grounds,,Providence,RI,05/01/1878,09/09/1885,NL,
PTA01,Legion Park,,Port Arthur,TX,,,,
PTK01,,,Pittsburg,KS,,,,
PTR01,Port Richmond,,Staten Island,NY,,,,
PTX01,Binnion Park,,Paris,TX,,,,
RAC01,Horlick Field,,Racine,WI,,,,
RAL01,Chavis Park,,Raleigh,NC,,,,
RCI01,Municipal Stadium,,Richmond,IN,,,,
RCK01,Agricultural Society Fair Grounds,,Rockford,IL,05/05/1871,09/26/1871,NA,
RCK02,Rox Park,,Rockford,IL,,,,
RED01,Pirates Park,,Red Bank,NJ,,,,
REG01,Park de Young,,Regina,SAS,,,,
RIC01,Richmond Fair Grounds,,Richmond,VA,04/29/1875,05/01/1875,NA,WS6: 2 games
RIC02,Allens Pasture,,Richmond,VA,08/05/1884,10/15/1884,AA,
RIC03,Tate Field,,Richmond,VA,,,,
RIC04,Mooers Field,,Richmond,VA,,,,
RIC05,Mayo Island,,Richmond,VA,,,,
RKM01,Talbert Park,,Rocky Mount,NC,,,,
ROC01,Culver Field I,,Rochester,NY,04/28/1890,10/06/1890,AA,
ROC02,Culver Field II,,Rochester,NY,08/27/1898,08/29/1898,NL,CL4: 2 games
ROC03,Ontario Beach Grounds,,Rochester,NY,08/28/1898,08/28/1898,NL,CL4
ROC04,Red Wing Stadium,,Rochester,NY,,,,
SAC01,,Sutter Health Park,Sacramento,CA,,,AL,
SAI01,St. George Cricket Grounds,,New York,NY,04/22/1886,06/14/1889,,NY4:1886-87; NY1:4/29 to 6/14/1889
SAN01,Qualcomm Stadium,San Diego/Jack Murphy Stadium,San Diego,CA,4/8/1969,9/28/2003,NL,
SAN02,Petco Park,,San Diego,CA,4/8/2004,,NL,
SAN03,Lane Field,,San Diego,CA,,,,
SAN04,Monroe Field,,San Diego,CA,,,,
SAT01,Mission Stadium,,San Antonio,TX,,,,
SAT02,Tech Field,,San Antonio,TX,,,,
SBD01,Lippincott Park,,South Bend,IN,,,,
SBY01,Memorial Field,,Salisbury,MD,,,,
SCI01,Soos Park,,Sioux City,IA,,,,
SCI02,Yards Park,,Sioux City,IA,,,,
SCP01,Bellefonte Community Athletic Field,,State College,PA,,,,
SCR01,Dunmore Stadium,,Scranton,PA,,,,
SEA01,Sick's Stadium,,Seattle,WA,4/11/1969,10/2/1969,AL,
SEA02,Kingdome,,Seattle,WA,4/6/1977,6/27/1999,AL,
SEA03,Safeco Field,,Seattle,WA,7/15/1999,,AL,
SEL01,Rowell Field,,Selma,AL,,,,
SEO01,Gocheok Sky Dome,Seoul,South Korea,,,,,
SFO01,Seals Stadium,,San Francisco,CA,4/15/1958,9/20/1959,NL,
SFO02,Candlestick Park,3Com Park,San Francisco,CA,4/12/1960,9/30/1999,NL,
SFO03,Oracle Park,AT&T Park; Pacific Bell Park; SBC Park,San Francisco,CA,4/11/2000,,NL,
SHA01,Sharon Park,,Sharon,PA,,,,
SHR01,Texas League Park,,Shreveport,LA,,,,
SHW01,Athletic Park,,Shawnee,OK,,,,
SIK01,,,Sikeston,MO,,,,
SJU01,Estadio Hiram Bithorn,,San Juan,PR,4/1/2001,6/30/2010,NL,TOR: 4/1/2001; MON:4/11-20&6/3-8&9/5-11/2003
SMO01,,,Santa Monica,CA,,,,
SPA01,,,Sparta,IL,,,,
SPR01,Hampden Park Race Track,Springfield Track,Springfield,MA,07/23/1872,05/14/1875,NA,TRO:7/23/1872; BS1:7/16/1873&5/14/1875
SPR02,Reservoir Park,,Springfield,IL,,,,
SPR03,Lanphier Park,,Springfield,IL,,,,
SPR04,Municipal Stadium,,Springfield,OH,,,,
SPR05,White City Park,,Springfield,MO,,,,
SPR06,Pynchon Park,,Springfield,MA,,,,
SPR07,Fitzpatrick Stadium,,Springfield,IL,,,,
STA01,Mitchell Field,,Stamford,CT,,,,
STC01,Rox Park,,St. Cloud,MN,,,,
STC02,Sports Park,,St. Catherines,ONT,,,,
STJ01,City Stadium,,St. Joseph,MO,,,,
STL01,Red Stockings Base Ball Park,,St. Louis,MO,05/04/1875,07/04/1875,NA,SL1
STL02,Grand Avenue Park,,St. Louis,MO,05/06/1875,10/06/1877,,SL2:1875; SL3:1876-1877
STL03,Sportsman's Park I,,St. Louis,MO,05/02/1882,10/13/1892,,SL4:1882-1891; SLN:1892
STL04,Union Grounds,,St. Louis,MO,04/20/1884,09/23/1886,,SLU:1884; SL5:1885-86
STL05,Robison Field,,St. Louis,MO,04/27/1893,6/6/1920,NL,
STL06,Sportsman's Park II,,St. Louis,MO,4/23/1902,10/6/1908,AL,
STL07,Sportsman's Park III,Busch Stadium I,St. Louis,MO,4/14/1909,5/8/1966,,SLA:1909-1953; SLN:7/1/1920 to 5/8/1966
STL08,Handlan's Park,Federal League Park,St. Louis,MO,4/16/1914,10/3/1915,FL,
STL09,Busch Stadium II,,St. Louis,MO,5/12/1966,10/2/2005,NL,
STL10,Busch Stadium III,,St. Louis,MO,4/10/2006,,NL,
STL11,Giants Park,,St. Louis,MO,,,,
STL12,Stars Park,,St. Louis,MO,,,,
STL13,South End Park,,St. Louis,MO,,,,
STL14,Metropolitan Park,,St. Louis,MO,,,,
STM01,,,St. Marys,OH,,,,
STP01,Tropicana Field,,St. Petersburg,FL,3/31/1998,,AL,
STP02,Lexington Park,,St. Paul,MN,,,,
SUN01,Memorial Park,,Sunbury,PA,,,,
SUP01,Lincoln Park Field,,Superior,NE,,,,
SYD01,Sydney Cricket Ground,,Sydney,Australia,3/22/2014,3/23/2014,NL,
SYR01,Star Park I,Newell Park,Syracuse,NY,05/28/1879,09/10/1879,NL,
SYR02,Star Park II,,Syracuse,NY,04/28/1890,10/06/1890,AA,
SYR03,Iron Pier,,Syracuse,NY,08/03/1890,08/03/1890,AA,Forfeit by LS2 to SR2; no game ever played here
SYR04,MacArthur Stadium,,Syracuse,NY,,,,
TAL01,Fair Grounds Park,,Tallulah,LA,,,,
TAM01,Plant Field,,Tampa,FL,,,,
TAM02,George M. Steinbrenner Field,,St. Petersburg,FL,,,AL,
TER01,,,Terre Haute,IN,,,,
TEX01,,,Texarkana,TX,,,,
THR01,Three Rivers Park,,Three Rivers,NY,05/18/1890,07/20/1890,AA,SR2: Sundays
TOK01,Tokyo Dome,,Tokyo,JAP,3/29/2000,3/26/2008,,NYN&CHN:2000;NYA&TBA:2004;BOS&OAK:2008
TOL01,League Park,,Toledo,OH,05/14/1884,09/23/1884,AA,
TOL02,Tri-State Fair Grounds,,Toledo,OH,09/13/1884,09/13/1884,AA,
TOL03,Speranza Park,,Toledo,OH,05/01/1890,10/02/1890,AA,
TOL04,Armory Park,,Toledo,OH,6/28/1903,8/16/1903,AL,DET: 2 games
TOL05,Swayne Field,,Toledo,OH,,,,
TOP01,Owl Park,,Topeka,KS,,,,
TOR01,Exhibition Stadium,,Toronto,ONT,4/7/1977,5/28/1989,AL,first game: snow covering outfield
TOR02,Rogers Centre,Skydome,Toronto,ONT,6/5/1989,,AL,
TRE01,Dunn Field,,Trenton,NJ,,,,
TRE02,YMCA Field,,Trenton,NJ,,,,
TRO01,Haymakers' Grounds,,Troy,NY,05/09/1871,09/30/1881,,TRO:1871-72; TRN: 1880-81
TRO02,Putnam Grounds,,Troy,NY,05/28/1879,05/30/1882,NL,TRN: 05/30/1882 (Gm 2)
TUL01,Texas League Park,,Tulsa,OK,,,,
TUP01,,,Tupelo,MS,,,,
TUS01,Alberta Park,,Tuscaloosa,AL,,,,
TYL01,,,Tyler,TX,,,,
UNI01,Elks Park,,Uniontown,PA,,,,
UNI02,,,Unionville,MO,,,,
URB01,Illinois Field,,Urbana,IL,,,,
VAN01,,,Vandergrift,PA,,,,
VCK01,,,Vicksburg,MS,,,,
WAC01,Katy Park,,Waco,TX,,,,
WAH01,,,Wahpeton,ND,,,,
WAP01,Wash-High Fied,,Washington,PA,,,,
WAR01,Rocky Point Park,,Warwick,RI,9/6/1903,9/6/1903,NL,BSN; outfield surrounded by ocean
WAR02,Fairgrounds Park,,Warren,OH,,,,
WAR03,Russell Field,,Warren,PA,,,,
WAS01,Olympic Grounds,,Washington,DC,05/04/1871,06/08/1875,NA,WS3:1871-1872; WS5:1873; WS6:1875
WAS02,National Grounds,,Washington,DC,04/20/1872,05/25/1872,NA,WS4
WAS03,Capitol Grounds,,Washington,DC,04/18/1884,09/25/1884,UA,
WAS04,Athletic Park,,Washington,DC,05/01/1884,08/05/1884,AA,
WAS05,Swampoodle Grounds,,Washington,DC,04/29/1886,09/21/1889,NL,
WAS06,Boundary Field,,Washington,DC,04/13/1891,10/14/1899,,WS9:1891; WSN: 1892-1899
WAS07,American League Park I,,Washington,DC,4/29/1901,9/29/1903,AL,first PA announcer (1902)
WAS08,American League Park II,,Washington,DC,4/14/1904,10/6/1910,AL,
WAS09,Griffith Stadium,,Washington,DC,4/12/1911,9/21/1961,AL,WS1:1911-60; WS2:1961
WAS10,Robert F. Kennedy Stadium,D.C. Stadium,Washington,DC,4/9/1962,9/23/2007,,AL:1962-71; NL:2005-07
WAS11,Nationals Park,,Washington,DC,3/30/2008,,NL,
WAT01,Troy Ball Club Grounds,,Watervliet,NY,05/20/1882,08/26/1882,NL,TRN
WAV01,Waverly Fairgrounds,,Waverly,NJ,04/28/1873,07/23/1873,NA,ELI
WEE01,Monitor Grounds,,Weehawken,NJ,09/11/1887,09/11/1887,AA,NY4
WFI01,Memorial Stadium,,West Frankfort,IL,,,,
WFL01,Spudder Field,,Wichita Falls,TX,,,,
WHE01,Island Grounds,,Wheeling,WV,09/22/1890,09/22/1890,NL,PIT
WHE02,Holloway Memorial Park,,Wheeling,WV,,,,
WIC01,Lawrence Field,,Wichita,KS,,,,
WIL01,Union Street Park,,Wilmington,DE,09/02/1884,09/15/1884,UA,9/15 forfeit
WIL02,BB&T Ballpark at Bowman Field,,Williamsport,PA,8/20/2017,8/20/2017,NL,PIT
WIL03,Harlan Field,,Wilmington,DE,,,,
WIL04,Wilmington Park,,Wilmington,DE,,,,
WIL05,,,Williamsport,PA,,,,
WIL06,Legion Stadium,,Wilmington,NC,,,,
WIL07,Municipal Stadium,,Wilson,NC,,,,
WIL08,Pennsy Field,,Wilmington,DE,,,,
WIN01,Osborne Stadium,,Winnipeg,MAN,,,,
WIN02,Gabrych Park,,Winona,MN,,,,
WNY01,West New York Field Club Grounds,,West New York,NJ,09/11/1898,09/17/1899,NL,BRO:9/18&10/2/1898; NY1:9/11/98&6/4&7/16&8/13&9/17/99
WNY02,Miller Stadium,,West New York,NJ,,,,
WOR01,Agricultural County Fair Grounds I,,Worcester,MA,05/01/1880,09/29/1882,NL,
WOR02,Agricultural County Fair Grounds II,,Worcester,MA,08/17/1887,08/17/1887,NL,1 BSN game
WOR03,Worcester Driving Park Grounds,,Worcester,MA,10/30/1874,10/30/1874,NA,1 BS1 game
WSL01,Soutside Park,,Winston-Salem,NC,,,,
WYM01,Arbor State Park,,Wymore,NE,,,,
YOR01,Eagles Park,,York,PA,,,,
YOR02,Memorial Stadium,,York,PA,,,,
YOR03,Martin-Perry Field,,West York,PA,,,,
YOU01,Idora Park,,Youngtown,OH,,,,
ZAN01,Mark Park,,Zanesville,OH,,,,
ZAN02,Municipal Stadium,,Zanesville,OH,,,,
